The English (United States) version of this software update installs files that have the attributes that are listed in the following tables.,,,,,,,
,,,,,,,
Windows 8.1 and Windows Server 2012 R2,,,,,,,
Notes,,,,,,,
The MANIFEST files (.manifest) and MUM files (.mum) that are installed are not listed.,,,,,,,
,,,,,,,
Internet Explorer 11,,,,,,,
Internet Explorer 11 on all supported x86-based versions of Windows 8.1 and Windows Server 2012 R2,,,,,,,
File name,File version,File size,Date,Time,Platform,SP requirement,Service branch
Actxprxy.dll,6.3.9600.18460,"1,049,600",27-Aug-16,16:11,x86,None,Not applicable
Hlink.dll,6.3.9600.18231,"99,328",8-Feb-16,20:29,x86,None,Not applicable
Pngfilt.dll,11.0.9600.17416,"57,344",31-Oct-14,3:26,x86,None,Not applicable
Urlmon.dll,11.0.9600.18666,"1,314,816",16-Apr-17,6:34,x86,None,Not applicable
Iexplore.exe,11.0.9600.18124,"815,280",11-Nov-15,21:14,x86,None,Not applicable
Wininetplugin.dll,6.3.9600.17416,"35,328",31-Oct-14,3:12,x86,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"46,592",12-Nov-16,21:31,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"52,736",12-Nov-16,21:30,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"51,200",12-Nov-16,21:30,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"51,200",12-Nov-16,21:30,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"56,320",12-Nov-16,21:30,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"57,856",12-Nov-16,21:32,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"49,664",12-Nov-16,21:32,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"49,664",12-Nov-16,19:17,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"54,272",12-Nov-16,21:32,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"47,616",12-Nov-16,21:32,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"49,152",12-Nov-16,21:32,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"55,296",12-Nov-16,21:30,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"45,056",12-Nov-16,21:32,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"51,712",12-Nov-16,21:32,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"51,712",12-Nov-16,21:32,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"53,248",12-Nov-16,21:32,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"39,424",12-Nov-16,21:32,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"35,840",12-Nov-16,21:32,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"50,176",12-Nov-16,21:31,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"51,200",12-Nov-16,21:31,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"50,688",12-Nov-16,21:31,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"52,736",12-Nov-16,21:31,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"53,760",12-Nov-16,21:31,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"54,272",12-Nov-16,20:30,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"54,272",12-Nov-16,20:29,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"52,736",12-Nov-16,20:30,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"51,200",12-Nov-16,20:29,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"53,248",12-Nov-16,20:30,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"52,736",12-Nov-16,20:30,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18666,"51,712",16-Apr-17,9:45,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"50,688",12-Nov-16,20:30,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"50,688",12-Nov-16,20:27,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"50,176",12-Nov-16,20:28,Not applicable,None,Not applicable
Wininet.dll.mui,11.0.9600.18538,"50,176",12-Nov-16,20:28,Not applicable,None,Not applicable
